sourceId,sourceFen,setupMove,playableFen,solutionMoves,rating,difficulty,popularity,ratingDeviation,numberOfPlays,themes,reviewStatus,inclusionReason
09IGa,r3kb1r/ppp1pppp/2n5/4q3/6P1/3P1B1P/PPP2P2/R1BQK1R1 w Qkq - 1 12,d1e2,r3kb1r/ppp1pppp/2n5/4q3/6P1/3P1B1P/PPP1QP2/R1B1K1R1 b Qkq - 2 12,c6d4 e2e5 d4f3 e1e2 f3e5,2008,hard,100,75,1153,advantage fork long middlegame sacrifice,approved,"Approved hard Fork puzzle with popularity 100, 1153 plays, and rating deviation 75"
0Jalw,8/ppq1r1k1/2nR2pp/3Q1p2/2B5/1Pp3P1/P4P1P/6K1 b - - 3 33,e7e1,8/ppq3k1/2nR2pp/3Q1p2/2B5/1Pp3P1/P4P1P/4r1K1 w - - 4 34,g1g2 e1e8 d6d7 c7d7 d5d7,1488,medium,100,75,4780,crushing endgame fork long,approved,"Approved medium Fork puzzle with popularity 100, 4780 plays, and rating deviation 75"
0LjER,8/7p/2k2pp1/4p3/4K1P1/2P2P2/7P/8 b - - 0 32,c6c5,8/7p/5pp1/2k1p3/4K1P1/2P2P2/7P/8 w - - 1 33,g4g5 f6g5 e4e5 g5g4 f3g4,2052,hard,99,75,1110,crushing deflection endgame long pawnEndgame,approved,"Approved hard Deflection puzzle with popularity 99, 1110 plays, and rating deviation 75"
0Ozbu,2rr3k/1bq2p1p/p3pNp1/4B3/8/1B2R3/PP4PP/R5K1 b - - 0 26,c7c6,2rr3k/1b3p1p/p1q1pNp1/4B3/8/1B2R3/PP4PP/R5K1 w - - 1 27,f6d5 h8g8 d5e7 g8f8 e7c6,2013,hard,100,75,1093,advantage discoveredAttack fork long middlegame,approved,"Approved hard Fork puzzle with popularity 100, 1093 plays, and rating deviation 75"
0Svc3,2R2r1k/6p1/p6p/1p1r4/8/4QP2/P2q1P1P/2R3K1 b - - 1 26,f8c8,2r4k/6p1/p6p/1p1r4/8/4QP2/P2q1P1P/2R3K1 w - - 0 27,c1c8 d5d8 e3d2,1384,easy,100,76,4486,crushing endgame pin short,approved,"Approved easy Pin puzzle with popularity 100, 4486 plays, and rating deviation 76"
0Y9P3,7k/4R3/3p4/5Kp1/4P2p/6r1/8/8 b - - 1 42,h4h3,7k/4R3/3p4/5Kp1/4P3/6rp/8/8 w - - 0 43,f5g6 g3f3 e7e8 f3f8 e8f8,1426,medium,100,75,4720,endgame exposedKing long mate mateIn3 rookEndgame,approved,"Approved medium Mate puzzle with popularity 100, 4720 plays, and rating deviation 75"
0b02Q,8/8/3p2k1/1P1P2pp/4q3/6PK/1P1Q3P/8 w - - 0 47,b5b6,8/8/1P1p2k1/3P2pp/4q3/6PK/1P1Q3P/8 b - - 0 47,g5g4 h3h4 e4e7 d2g5 e7g5,1480,medium,100,76,3815,endgame long mate mateIn3 queenEndgame,approved,"Approved medium Mate puzzle with popularity 100, 3815 plays, and rating deviation 76"
0bg6I,3R4/3k2P1/1p2p3/p1p3K1/8/8/8/r7 b - - 4 49,d7d8,3k4/6P1/1p2p3/p1p3K1/8/8/8/r7 w - - 0 50,g7g8q d8d7 g8g7 d7c6 g7a1,1358,easy,100,75,4066,advancedPawn crushing endgame exposedKing fork long promotion,approved,"Approved easy Fork puzzle with popularity 100, 4066 plays, and rating deviation 75"
0hH95,2k5/pp1n1p2/2p5/3p1Qpn/3P3r/2P1PP1N/PP1N2Pq/R4K2 w - - 3 25,f5g5,2k5/pp1n1p2/2p5/3p2Qn/3P3r/2P1PP1N/PP1N2Pq/R4K2 b - - 0 25,h4h3 g2h3 h5g3 g5g3 h2g3,2115,hard,99,75,1051,advantage long middlegame sacrifice,approved,"Approved hard Sacrifice puzzle with popularity 99, 1051 plays, and rating deviation 75"
0iVzE,2Rr2k1/pQ4p1/4p2p/5pq1/3r1n2/4N3/PP3PPP/5RK1 b - - 2 22,d4d7,2Rr2k1/pQ1r2p1/4p2p/5pq1/5n2/4N3/PP3PPP/5RK1 w - - 3 23,b7d7 d8c8 d7c8,1368,easy,100,74,5027,advantage middlegame pin short,approved,"Approved easy Pin puzzle with popularity 100, 5027 plays, and rating deviation 74"
