sourceId,difficulty,primaryTheme,reviewStatus,legalSetup,legalSolution,lineEndsOnPlayerMove,noPrematureTerminal,uniquePositionAndLine,qualityBounds,inclusionReason
09IGa,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 100, 1153 plays, and rating deviation 75"
0Jalw,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 4780 plays, and rating deviation 75"
0LjER,hard,deflection,approved,true,true,true,true,true,true,"Approved hard Deflection puzzle with popularity 99, 1110 plays, and rating deviation 75"
0Ozbu,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 100, 1093 plays, and rating deviation 75"
0Svc3,easy,pin,approved,true,true,true,true,true,true,"Approved easy Pin puzzle with popularity 100, 4486 plays, and rating deviation 76"
0Y9P3,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4720 plays, and rating deviation 75"
0b02Q,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3815 plays, and rating deviation 76"
0bg6I,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4066 plays, and rating deviation 75"
0hH95,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 99, 1051 plays, and rating deviation 75"
0iVzE,easy,pin,approved,true,true,true,true,true,true,"Approved easy Pin puzzle with popularity 100, 5027 plays, and rating deviation 74"
0lBW3,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4222 plays, and rating deviation 76"
0ogxM,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1110 plays, and rating deviation 76"
0pbrW,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 98, 1719 plays, and rating deviation 78"
0uv4N,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 2825 plays, and rating deviation 74"
0y4wp,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 98, 3478 plays, and rating deviation 78"
0ypij,medium,skewer,approved,true,true,true,true,true,true,"Approved medium Skewer puzzle with popularity 100, 2691 plays, and rating deviation 75"
134eC,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 18134 plays, and rating deviation 76"
13qOa,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 98, 2105 plays, and rating deviation 77"
18GEz,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 5206 plays, and rating deviation 75"
18V9o,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4487 plays, and rating deviation 77"
1AvDn,easy,promotion,approved,true,true,true,true,true,true,"Approved easy Promotion puzzle with popularity 100, 3897 plays, and rating deviation 75"
1HcuU,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 5129 plays, and rating deviation 76"
1W56a,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 98, 2147 plays, and rating deviation 77"
1jEnT,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 99, 2406 plays, and rating deviation 75"
1lOKk,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1041 plays, and rating deviation 76"
1tZVN,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 3376 plays, and rating deviation 76"
1zx3Y,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 6270 plays, and rating deviation 74"
22QXr,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 3483 plays, and rating deviation 76"
25Yhz,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3650 plays, and rating deviation 74"
25etE,medium,discoveredAttack,approved,true,true,true,true,true,true,"Approved medium Discovered attack puzzle with popularity 100, 6894 plays, and rating deviation 75"
29I6J,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 3900 plays, and rating deviation 75"
2EBqD,easy,advancedPawn,approved,true,true,true,true,true,true,"Approved easy Advanced pawn tactics puzzle with popularity 100, 4019 plays, and rating deviation 78"
2L3ID,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 4095 plays, and rating deviation 76"
2LWHH,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4057 plays, and rating deviation 76"
2M9AE,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 8077 plays, and rating deviation 76"
2RVn3,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 3296 plays, and rating deviation 75"
2ctvT,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3581 plays, and rating deviation 74"
2g57m,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1080 plays, and rating deviation 76"
2gwzr,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5223 plays, and rating deviation 76"
2ihZi,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4038 plays, and rating deviation 76"
2ogzE,medium,skewer,approved,true,true,true,true,true,true,"Approved medium Skewer puzzle with popularity 100, 2671 plays, and rating deviation 75"
2peWl,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3632 plays, and rating deviation 78"
2vwtm,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 99, 1317 plays, and rating deviation 76"
2y11K,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 4895 plays, and rating deviation 75"
322Fx,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1415 plays, and rating deviation 75"
35JUo,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 3302 plays, and rating deviation 79"
39ApR,medium,promotion,approved,true,true,true,true,true,true,"Approved medium Promotion puzzle with popularity 100, 3854 plays, and rating deviation 74"
3EHpM,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3882 plays, and rating deviation 75"
3Fn7t,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3372 plays, and rating deviation 79"
3FtEG,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3548 plays, and rating deviation 75"
3K5pW,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3624 plays, and rating deviation 76"
3KAfL,easy,promotion,approved,true,true,true,true,true,true,"Approved easy Promotion puzzle with popularity 100, 3856 plays, and rating deviation 76"
3Udpb,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 99, 1160 plays, and rating deviation 78"
3auaH,medium,discoveredAttack,approved,true,true,true,true,true,true,"Approved medium Discovered attack puzzle with popularity 100, 3461 plays, and rating deviation 75"
3bsA7,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1672 plays, and rating deviation 76"
3cwew,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 99, 1720 plays, and rating deviation 75"
3fVTm,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 3202 plays, and rating deviation 76"
3lrmD,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 4050 plays, and rating deviation 74"
3ptxX,hard,deflection,approved,true,true,true,true,true,true,"Approved hard Deflection puzzle with popularity 99, 1056 plays, and rating deviation 76"
3qUz7,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4163 plays, and rating deviation 75"
